"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"131","Hale Hentges (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Garrett Griffin (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"133","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Jason Vander Laan (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","John Lovett (GB)","0","0","0","0","0","0","0","3","6","0","0","8","0.0","0.0","0.0%"
"136","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Daniel Helm (SF)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"138","Ricky Seals-Jones (KC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"139","Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Jordan Franks (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Dylan Cantrell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Tyrone Swoopes (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Andrew Vollert (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","David Wells (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Matt Flanagan (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Hakeem Butler (PHI)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"147","Kevin Rader (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Evan Baylis (ARI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
