Player,FPTS,Positional Rank,Owner,Draft order,$,Position,Value
Evan Engram (NYG),106.8,TE-15.0,Wolf Pussy,102,2,TE,53.4
Ronald Jones II (TB),158.5,RB-17.0,Wolf Pussy,84,3,RB,52.833333333333336
Alexander Mattison (MIN),52.4,RB-66.0,Cookin Russells,105,1,RB,52.4
Tyler Higbee (LAR),100.6,TE-17.0,Danica Gave Me A Higbee,112,2,TE,50.3
Sterling Shepard (NYG),99.9,WR-59.0,Fumble .,106,2,WR,49.95
Chris Herndon IV (NYJ),42.4,TE-43.0,Cookin Russells,82,1,TE,42.4
Stefon Diggs (BUF),254.0,WR-3.0,Wolf Pussy,74,6,WR,42.333333333333336
DeSean Jackson (PHI),37.8,WR-117.0,Wolf Pussy,101,1,WR,37.8
Matt Breida (MIA),37.5,RB-82.0,Let Me Be Frankel,117,1,RB,37.5
David Montgomery (CHI),214.1,RB-6.0,Cookin Russells,71,6,RB,35.68333333333333
Darren Waller (LV),202.9,TE-2.0,Just Joshin,57,6,TE,33.81666666666667
John Brown (BUF),65.1,WR-90.0,Fumble .,103,2,WR,32.55
Deebo Samuel (SF),64.2,WR-93.0,Cookin Russells,100,2,WR,32.1
Zack Moss (BUF),92.0,RB-45.0,Sweetless In Seattle,75,3,RB,30.666666666666668
Jerry Jeudy (DEN),107.1,WR-51.0,Cookin Russells,89,4,WR,26.775
Marvin Jones Jr. (DET),155.8,WR-29.0,Let Me Be Frankel,60,6,WR,25.96666666666667
Sony Michel (NE),50.7,RB-69.0,Fumble .,147,2,RB,25.35
Michael Gallup (DAL),136.9,WR-36.0,Fumble .,72,6,WR,22.816666666666666
Leonard Fournette (TB),110.3,RB-37.0,Dak's Butt Kickers,70,5,RB,22.06
Phillip Lindsay (DEN),62.5,RB-62.0,Just Joshin,97,3,RB,20.833333333333332
Kerryon Johnson (DET),62.3,RB-63.0,Ice City USA,86,3,RB,20.766666666666666
DeVante Parker (MIA),119.7,WR-46.0,Wolf Pussy,83,6,WR,19.95
Jarvis Landry (CLE),138.1,WR-34.0,Just Joshin,53,7,WR,19.728571428571428
Robert Woods (LAR),194.5,WR-12.0,Just Joshin,49,10,WR,19.45
D'Andre Swift (DET),152.3,RB-21.0,Dak's Butt Kickers,61,9,RB,16.922222222222224
Devin Singletary (BUF),122.8,RB-32.0,Danica Gave Me A Higbee,68,8,RB,15.35
Tyler Boyd (CIN),151.4,WR-33.0,Wolf Pussy,80,10,WR,15.14
Jordan Howard (PHI),30.2,RB-86.0,2 Many Cooks 2 Many,98,2,RB,15.1
D.K. Metcalf (SEA),226.2,WR-5.0,Dak's Butt Kickers,17,15,WR,15.08
J.K. Dobbins (BAL),131.5,RB-28.0,Dak's Butt Kickers,94,9,RB,14.61111111111111
T.Y. Hilton (IND),124.0,WR-43.0,Let Me Be Frankel,48,9,WR,13.777777777777779
Marquise Brown (BAL),135.4,WR-37.0,Dak's Butt Kickers,76,10,WR,13.540000000000001
Melvin Gordon III (DEN),163.4,RB-15.0,Cookin Russells,55,14,RB,11.671428571428573
Kareem Hunt (CLE),194.9,RB-8.0,Just Joshin,50,17,RB,11.464705882352941
