Player,FPTS,Positional Rank,Owner,Draft order,$,Position
Jared Cook (NO),96.6,TE-18.0,2 Many Cooks 2 Many,131,1,TE
Curtis Samuel (CAR),158.0,WR-27.0,2 Many Cooks 2 Many,152,1,WR
Mike Williams (LAC),109.9,WR-49.0,Favre's Wranglers,149,1,WR
Younghoe Koo (ATL),159.0,K-2.0,Ice City USA,142,1,K
Damien Harris (NE),88.8,RB-48.0,Sweetless In Seattle,119,1,RB
Matt Prater (DET),110.0,K-22.0,Sweetless In Seattle,134,1,K
Greg Zuerlein (DAL),137.0,K-7.0,Just Joshin,81,1,K
Robby Anderson (CAR),171.2,WR-17.0,Ice City USA,128,1,WR
James White (NE),81.0,RB-51.0,Let Me Be Frankel,107,1,RB
CeeDee Lamb (DAL),173.6,WR-16.0,Ice City USA,110,1,WR
Breshad Perriman (NYJ),74.2,WR-81.0,2 Many Cooks 2 Many,145,1,WR
Jake Elliott (PHI),73.0,K-29.0,2 Many Cooks 2 Many,154,1,K
Golden Tate (NYG),69.0,WR-87.0,Let Me Be Frankel,132,1,WR
Henry Ruggs III (LV),67.8,WR-88.0,Ice City USA,88,1,WR
Hayden Hurst (ATL),110.3,TE-14.0,Sweetless In Seattle,99,1,TE
Preston Williams (MIA),65.8,WR-89.0,Favre's Wranglers,129,1,WR
Noah Fant (DEN),111.5,TE-13.0,2 Many Cooks 2 Many,150,1,TE
Darius Slayton (NYG),112.8,WR-48.0,Favre's Wranglers,136,1,WR
Chris Herndon IV (NYJ),42.4,TE-43.0,Cookin Russells,82,1,TE
