"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"332","Andy Fantuz (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"333","Scotty McKnight (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","Marquise Goodwin (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"335","Jaron Brown (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Michael Calvin (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Josh Gordon (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"338","Jeremy Williams (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"339","Duke Williams (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"340","Juaquin Iglesias (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"341","John Standeford (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"342","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"343","Brandon London (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"344","Austin Collie (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"345","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"346","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"347","Tyler Grisham (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"348","Todd Watkins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"349","Onrea Jones (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"350","Patrick Williams (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Dominique Edison (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"352","Joe Webb III (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"353","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"354","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"355","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"356","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"357","Lance Long (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"358","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"359","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"360","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"361","DeAndrew White (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"362","Tyrell Williams (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"363","Corey Coleman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Chester Rogers (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"365","Jake Lampman (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Marken Michel (CAR)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"367","Josh Doctson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"368","Cody Core (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"369","Chris Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"370","Tajae Sharpe (KC)","0","3","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"371","Geronimo Allison (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"372","Trevor Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"373","Johnny Holton (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"374","Jordan Matthews (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"375","Marqise Lee (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"376","De'Anthony Thomas (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"377","Albert Wilson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"378","Phillip Dorsett II (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"379","Devin Smith (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"380","Devin Funchess (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"381","Kevin White (SF)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"382","Allen Hurns (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"383","DeAndre Carter (CHI)","1","2","8","8.0","8","0","0","0","0","0","1","12","-0.7","-0.1","0.0%"
"384","Kendall Hinton (DEN)","0","0","0","0","0","0","0","2","7","0","0","1","-0.8","-0.8","1.2%"
"385","Dede Westbrook (JAC)","1","1","4","4.0","4","0","0","0","0","0","1","2","-1.1","-0.6","1.0%"
"386","Nsimba Webster (LAR)","0","0","0","0","0","0","0","0","0","0","1","15","-2.0","-0.1","0.0%"
"387","Dwayne Harris (CHI)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","0.0%"
""
""
