Player name,Rank,Player,FPTS,Positional Rank,Team name,Owner,Draft order,Name-Team-Pos,$,Position
Zack Moss,45.0,Zack Moss (BUF),92.0,RB-45.0,BUF,Sweetless In Seattle,75,"Zack Moss Buf, RB",3,RB
Raheem Mostert,46.0,Raheem Mostert (SF),91.7,RB-46.0,SF,Sweetless In Seattle,62,"Raheem Mostert SF, RB",9,RB
George Kittle,20.0,George Kittle (SF),90.8,TE-20.0,SF,Let Me Be Frankel,12,"George Kittle SF, TE",39,TE
Joe Mixon,47.0,Joe Mixon (CIN),89.1,RB-47.0,CIN,Fumble .,25,"Joe Mixon Cin, RB",59,RB
Damien Harris,48.0,Damien Harris (NE),88.8,RB-48.0,NE,Sweetless In Seattle,119,"Damien Harris NE, RB",1,RB
A.J. Green,67.0,A.J. Green (CIN),87.8,WR-67.0,CIN,Just Joshin,77,"A.J. Green Cin, WR",12,WR
Cam Akers,49.0,Cam Akers (LAR),87.7,RB-49.0,LAR,Tier 2 Never Felt So Good,58,"Cam Akers LAR, RB",14,RB
Christian McCaffrey,50.0,Christian McCaffrey (CAR),81.8,RB-50.0,CAR,Fumble .,3,"Christian McCaffrey Car, RB",95,RB
James White,51.0,James White (NE),81.0,RB-51.0,NE,Let Me Be Frankel,107,"James White NE, RB",1,RB
Odell Beckham Jr.,78.0,Odell Beckham Jr. (CLE),75.3,WR-78.0,CLE,Cookin Russells,41,"Odell Beckham Jr. Cle, WR",22,WR
Breshad Perriman,81.0,Breshad Perriman (NYJ),74.2,WR-81.0,NYJ,2 Many Cooks 2 Many,145,"Breshad Perriman NYJ, WR",1,WR
Golden Tate,87.0,Golden Tate (NYG),69.0,WR-87.0,NYG,Let Me Be Frankel,132,"Golden Tate NYG, WR",1,WR
Henry Ruggs III,88.0,Henry Ruggs III (LV),67.8,WR-88.0,LV,Ice City USA,88,"Henry Ruggs III LV, WR",1,WR
Le'Veon Bell,61.0,Le'Veon Bell (KC),66.6,RB-61.0,KC,Danica Gave Me A Higbee,46,"Le'Veon Bell KC, RB",17,RB
Preston Williams,89.0,Preston Williams (MIA),65.8,WR-89.0,MIA,Favre's Wranglers,129,"Preston Williams Mia, WR",1,WR
John Brown,90.0,John Brown (BUF),65.1,WR-90.0,BUF,Fumble .,103,"John Brown Buf, WR",2,WR
Deebo Samuel,93.0,Deebo Samuel (SF),64.2,WR-93.0,SF,Cookin Russells,100,"Deebo Samuel SF, WR",2,WR
Michael Thomas,94.0,Michael Thomas (NO),63.9,WR-94.0,NO,Dak's Butt Kickers,15,"Michael Thomas NO, WR",71,WR
Phillip Lindsay,62.0,Phillip Lindsay (DEN),62.5,RB-62.0,DEN,Just Joshin,97,"Phillip Lindsay Den, RB",3,RB
Kerryon Johnson,63.0,Kerryon Johnson (DET),62.3,RB-63.0,DET,Ice City USA,86,"Kerryon Johnson Det, RB",3,RB
